rb1.business_id,city,rb1.review_count,rb1.name,rb1.address,rb1.categories,rb1.state,rb1.postal_code,rb1.latitude,rb1.longitude,rb1.overall_review,rb1.stars
0ro2rXN3HLJKqnUDiCS17Q,Montréal,4,Jean Coutu,980 Sainte-Catherine Rue W,"[""['Health & Medical'"","" 'Shopping'"","" 'Drugstores'"","" 'Optometrists'"","" 'Eyewear & Opticians']""]",QC,H3B 1E5,45.50067902,-73.57177734,P,3
0vytvfym7q8f85jeOvgr5Q,Mesa,3,Natural Motion,"2990 S Power Rd, Ste 1176","[""['Chiropractors'"","" 'Health & Medical']""]",AZ,85212,33.36216354,-111.6900787,P,5
12H7GNcjwUMF2ExRRCPUKw,Gilbert,4,"Drs. Goodman & Partridge, OB/GYN","5656 S Power Rd, Ste 137","[""['Doctors'"","" 'Health & Medical']""]",AZ,85295,33.313797,-111.6873322,P,4
1B-cYCozOW0WspJJ2epIBw,Gilbert,3,"Salek Mehdi, MD","3493 S Mercy Rd, .","[""['Health & Medical'"","" 'Doctors'"","" 'Pediatricians']""]",AZ,85297,33.28575897,-111.7473221,P,3.5
1Dp_zUe2P4vfPMJ8ZmR_pA,Phoenix,3,"Howard M Robinson, DO","19841 N 27th Ave, Ste 200","[""['Health & Medical'"","" 'Doctors'"","" 'Internal Medicine']""]",AZ,85027,33.6670723,-112.1158142,P,2.5
1LNHq2MRI2J5gyfeVDPHVg,Charlotte,7,"Chuck  Hipple, MSAc",1812 Lyndhurst Ave,"[""['Acupuncture'"","" 'Traditional Chinese Medicine'"","" 'Health & Medical'"","" 'Massage Therapy']""]",NC,28203,35.2088623,-80.85495758,P,4.5
1SjeqwgRWQTFS8AkgGXqkg,Phoenix,3,Arizona Family Hypnosis,13203 S 48th St,"[""['Counseling & Mental Health'"","" 'Hypnosis/Hypnotherapy'"","" 'Weight Loss Centers'"","" 'Health & Medical']""]",AZ,85044,33.32665253,-111.9800797,P,3.5
1TZ1AGd22wIchtsWkTeG5Q,Phoenix,17,Haggard Chiropractic,9675 W Camelback Rd,"[""['Beauty & Spas'"","" 'Orthopedists'"","" 'Massage'"","" 'Doctors'"","" 'Massage Therapy'"","" 'Health & Medical'"","" 'Chiropractors'"","" 'Orthotics']""]",AZ,85037,33.50845337,-112.2676773,P,5
1_2I3175jm3VmRsI6VYjDA,Scottsdale,12,BodyTech Sports Massage,"7272 E Indian School Rd, Ste 540","[""['Massage Therapy'"","" 'Health & Medical'"","" 'Physical Therapy'"","" 'Active Life'"","" 'Beauty & Spas'"","" 'Massage']""]",AZ,85251,33.49569702,-111.9244766,P,5
1dmdErUPfYhxEuZYeLijZA,Henderson,7,Margie Dacko The Midwife House,286 Merrick Way,"[""['Health & Medical'"","" 'Midwives']""]",NV,89014,36.13018799,-115.1292877,P,2.5
1fQWV5PVyo6Gsu16KbotPQ,Toronto,16,Toronto Acupuncture Studio,1116 College Street,"[""['Traditional Chinese Medicine'"","" 'Acupuncture'"","" 'Health & Medical']""]",ON,M6H 1B6,43.65252686,-79.43270874,P,4.5
1hAu27JoigXU2IkbDpi8Yg,Phoenix,4,Desert Indigo Bodywork,7th St & Glendale,"[""['Health & Medical'"","" 'Massage Therapy']""]",AZ,85014,33.53905106,-112.0646515,P,5
1htHJOpUtZBkGKRouMMB9g,Phoenix,3,Paxton Donald E MD,202 E Earll Dr Ste 450,"[""['Health & Medical'"","" 'Doctors']""]",AZ,85012,33.48413086,-112.0713577,P,3.5
1oDXxqLQBIwPWvOIN96DqA,Glendale,6,Phoenix Midwife,,"[""['Health & Medical'"","" 'Midwives']""]",AZ,85307,33.4483757,-112.0740356,P,5
1qE94q5WIOsJ3sLJFUsXZw,Henderson,7,Comprehensive Cancer Centers of Nevada - Henderson,"10001 S Eastern Ave, Ste 108","[""['Oncologist'"","" 'Medical Centers'"","" 'Doctors'"","" 'Health & Medical']""]",NV,89052,36.00523758,-115.11409,P,4.5
1sgtwBEL9WTAr-vA9o17LA,Cornelius,4,Carolina Asthma & Allergy Center,19475 Old Jetton Rd,"[""['Doctors'"","" 'Health & Medical'"","" 'Allergists']""]",NC,28031,35.47973251,-80.89238739,P,4
1wletarIeb6n59dr-QyJBA,Gilbert,3,Get Well Be Well,"3651 E Baseline Rd, Ste E104","[""['Chiropractors'"","" 'Health & Medical']""]",AZ,85234,33.37707901,-111.7529831,P,5
24lIOCW1RCLAJUOyzs_gnQ,Stuttgart,4,"Gemeinschaftspraxis mit Dr. med. Eberhard Klenk, Dr. med. Pinar",Rotebühlstraße  80,"[""['Health & Medical'"","" 'Doctors'"","" 'Family Practice']""]",BW,70178,48.77149963,9.161029816,P,3
25-bKhOpVDDN_JYbv60wVA,Phoenix,5,a Midwife's Kaleidoscope,,"[""['Midwives'"","" 'Health & Medical']""]",AZ,85006,33.46360016,-112.0535965,P,4
2GrGSJ9cK3uc1TJRd0g4sA,Mesa,8,Campbell Chiropractic Center,1059 E Broadway Rd,"[""['Health & Medical'"","" 'Chiropractors']""]",AZ,85204,33.40763092,-111.8077393,P,3.5
2NAWda5gQs4CwbOt6hYaYg,Las Vegas,3,The Retina Center At Las Vegas,6839 W Charleston Boulevard,"[""['Ophthalmologists'"","" 'Optometrists'"","" 'Shopping'"","" 'Doctors'"","" 'Eyewear & Opticians'"","" 'Health & Medical']""]",NV,89117,36.1586113,-115.2451248,P,3
2NVFCXfBU0NbzOn3-nRnxQ,Montréal,3,Bottine Aux Herbes,"3778 Rue Saint-denis, A","[""['Traditional Chinese Medicine'"","" 'Food'"","" 'Nutritionists'"","" 'Health & Medical'"","" 'Specialty Food'"","" 'Health Markets']""]",QC,H2W 2M1,45.51903152,-73.57254791,P,4.5
2jThXBMBo_1dGvsIT3sBiQ,Charlotte,5,"David M Glasscock, DDS","8430 University Executive Park Dr, Ste 610","[""['Oral Surgeons'"","" 'Dentists'"","" 'Health & Medical'"","" 'Cosmetic Dentists']""]",NC,28262,35.30468369,-80.75295258,P,4.5
2pD9wZWXDNsZf_MXd8rQtg,Urbana,7,Carle Clinic Association,602 W University Ave,"[""['Health & Medical'"","" 'Doctors']""]",IL,61801,40.11662674,-88.21475983,P,2.5
2rEkoIT7ln7cmlvznzNCfw,Las Vegas,6,Pulmonary Solutions,"7365 Prairie Falcon Rd, Suite 110","[""['Sleep Specialists'"","" 'Hospitals'"","" 'Health & Medical'"","" 'Shopping'"","" 'Medical Supplies'"","" 'Pulmonologist'"","" 'Doctors']""]",NV,89128,36.20593262,-115.2550125,P,3
2w6fwQtWd0SqmwklrYJKQg,Mesa,5,"J Ladd Williams, DDS","1244 N Greenfield Rd, Ste 103","[""['Cosmetic Dentists'"","" 'Dentists'"","" 'Orthodontists'"","" 'General Dentistry'"","" 'Health & Medical']""]",AZ,85205,33.43851089,-111.7368317,P,5
3EuEKK7jlcVwhU_4D7Kmkw,Charlotte,23,The Yoga Oasis,2400 Park Rd,"[""['Fitness & Instruction'"","" 'Yoga'"","" 'Health & Medical'"","" 'Active Life'"","" 'Pilates']""]",NC,28203,35.19850159,-80.8526535,P,4
3KFUlJKD4EmWSw7XlTaEkA,Charlotte,4,University Dental Associates - Crown Point,"2300 Sardis Road N, Ste G","[""['Health & Medical'"","" 'Orthodontists'"","" 'Dentists']""]",NC,28227,35.14387512,-80.72780609,P,5
3Uox1IcfF_IA804XqzoW7A,Las Vegas,4,Las Vegas Ladies Sauna,3871 S Valley View Blvd,"[""['Saunas'"","" 'Day Spas'"","" 'Beauty & Spas'"","" 'Health & Medical']""]",NV,89103,36.1194458,-115.1912384,P,3
3Wi_F3UNEJ-jUpGkc3GFIQ,Davidson,4,Northeast Pediatric Dentistry,11223 Davinci Dr,"[""['Health & Medical'"","" 'Pediatric Dentists'"","" 'Dentists']""]",NC,28036,35.44299698,-80.76352692,P,1
3_WDpifCVPgGg5tq-zG7IA,Las Vegas,8,Community Chiropractic Center,"6525 N Buffalo Dr, Ste 160","[""['Health & Medical'"","" 'Chiropractors']""]",NV,89131,36.28149033,-115.266716,P,5
3bsQ0ZjOsPmn3_v4kfX09A,Las Vegas,6,"Setsuko H Sage, OMD","8440 W Lake Mead Blvd, Ste 110","[""['Acupuncture'"","" 'Chiropractors'"","" 'Health & Medical']""]",NV,89128,36.19950867,-115.2785034,P,5
3o3E4VlhmnIEjGDws5zsYA,Henderson,8,Pecos Dental,"62 N Pecos Rd, Ste A","[""['Health & Medical'"","" 'General Dentistry'"","" 'Dentists']""]",NV,89074,36.03187561,-115.0997467,P,5
3pCTA4QiDKMae4ZKxwfDlw,Huntersville,3,"Saluja Raminder, MD","Saluja Cosmetic And Laser Ctr, 9615 Northcross Center Ct, Ste B","[""['Doctors'"","" 'Dermatologists'"","" 'Ophthalmologists'"","" 'Health & Medical'"","" 'Cosmetic Surgeons']""]",NC,28078,35.44778824,-80.8655014,P,5
3rIOolJIEVVoWvduh9HO2g,Las Vegas,7,Flores Family Dental,"6536 N Decatur Blvd, Ste 120","[""['Dentists'"","" 'General Dentistry'"","" 'Health & Medical']""]",NV,89131,36.27877426,-115.2038345,P,4.5
3wWXy7fE4Svnpkt5ub-xXQ,Las Vegas,3,Whetten Orthodontics,4540 S Pecos Road,"[""['Orthodontists'"","" 'Health & Medical'"","" 'Dentists']""]",NV,89121,36.10694885,-115.1003265,P,5
3zyWCxAF3KnjWSEL1J0zQw,Peoria,3,All West Family Denistry DDS,13470 N 83rd Avenue,"[""['Dentists'"","" 'Health & Medical'"","" 'General Dentistry']""]",AZ,85381,33.60733414,-112.2381744,P,5
4D68H-dtwj5qpBlx3tZtSw,Phoenix,7,Arizona Sports Chiropractic & Wellness Center,"4500 E Bell Rd, Bld.6 Ste152","[""['Chiropractors'"","" 'Health & Medical']""]",AZ,85032,33.64071655,-111.9842606,P,5
4PWgVhWOsuSAoKV2KK-PMw,Phoenix,7,Internal Medicine At Good Samaritan Regional Medical Center,"1300 N 12th Street, Suite 508","[""['Health & Medical'"","" 'Hospitals']""]",AZ,85006,33.46311569,-112.0570679,P,3.5
4QktIILkKkzW94ugdIUIBA,Toronto,3,Pacific Health Centre,168 Annette Street,"[""['Chiropractors'"","" 'Massage'"","" 'Health & Medical'"","" 'Beauty & Spas']""]",ON,M6P 1P4,43.66344452,-79.46754456,P,4.5
4bKdbN800GgPm6G5a97gRw,Madison,3,Sofia's Therapeutic Massage,"5609 Medical Cir, Ste L 20","[""['Massage'"","" 'Massage Therapy'"","" 'Beauty & Spas'"","" 'Health & Medical']""]",WI,53719,43.04903793,-89.4779892,P,5
4bvcWDdCWm1hvfKMG8PHCA,Scottsdale,11,Piper Surgery Center,9007 E Shea Blvd,"[""['Medical Centers'"","" 'Health & Medical']""]",AZ,85260,33.58184814,-111.8849487,P,4.5
4hr1Iozrv_fRnPHFzPmTmg,Las Vegas,4,Duddy Blair K MD,3150 N Tenaya Way Ste 260,"[""['Doctors'"","" 'Health & Medical']""]",NV,89128,36.21670532,-115.2494125,P,5
4m7aoo4-CWH08FMno5daow,Cornelius,7,Hoctor Chiropractic and Family Wellness,20844 Catawba Ave,"[""['Health & Medical'"","" 'Chiropractors']""]",NC,28031,35.48361969,-80.86776733,P,5
4ubjy-4N9D4sEPnoSA4pUA,Matthews,3,Matthews Family Physicians,1450 Matthews Township Pkwy Ste 450,"[""['Doctors'"","" 'Health & Medical'"","" 'Family Practice']""]",NC,28105,35.120224,-80.71401978,P,2.5
4y30lPblB1eQVQyEY9SRUw,Peoria,11,Fletcher Heights Dental Care,"8272 W Lake Pleasant Pkwy, Ste 204","[""['Cosmetic Dentists'"","" 'Health & Medical'"","" 'Dentists'"","" 'General Dentistry'"","" 'Periodontists']""]",AZ,85382,33.67221451,-112.2375488,P,3.5
53NY8qX1kWkvDIDQcLh88Q,Verdun,3,Jean Coutu,4061 Wellington Rue,"[""['Health & Medical'"","" 'Optometrists'"","" 'Shopping'"","" 'Eyewear & Opticians'"","" 'Drugstores']""]",QC,H4G 1V6,45.46306229,-73.56726837,P,3.5
5EHAJxyn8W-8OBZk0DOJFg,Peoria,3,Pleasant Pediatrics,9744 W Northern Ave,"[""['Health & Medical'"","" 'Pediatricians'"","" 'Doctors']""]",AZ,85345,33.55327606,-112.2692719,P,5
5QMI_7-Zh-cwVkY68YGfIA,Toronto,4,St. Clair Medical Centre,"50 St Clair Avenue E, 2nd Floor","[""['Medical Centers'"","" 'Family Practice'"","" 'Doctors'"","" 'Health & Medical']""]",ON,M4T 1L8,43.68860626,-79.39160919,P,2
5bDLpVi7ju83v2Yoeq_0Rw,Toronto,7,Tuina Toronto,122 Dundas Street W,"[""['Acupuncture'"","" 'Health & Medical'"","" 'Beauty & Spas'"","" 'Traditional Chinese Medicine'"","" 'Massage']""]",ON,M7A 2C7,43.65561295,-79.38432312,P,3.5
5tLfs8DWaKtFXdN5DgURqA,Phoenix,6,A Gentle Touch Family Dental P C,4350 E Ray Rd,"[""['Dentists'"","" 'General Dentistry'"","" 'Health & Medical']""]",AZ,85044,33.32089233,-111.9899368,P,4.5
5xEZbmMOEFaDPD_6PQOb5w,Las Vegas,7,Peccole Family Dental,"7720 W Sahara Ave, Ste 110","[""['Cosmetic Dentists'"","" 'General Dentistry'"","" 'Dentists'"","" 'Health & Medical']""]",NV,89117,36.14483261,-115.2591019,P,4.5
6GBhaDFemq_0-7Fo-9-O2A,Scottsdale,6,The Back Rub Company,"7830 E Redfield Rd, Ste 12","[""['Massage'"","" 'Nutritionists'"","" 'Beauty & Spas'"","" 'Health & Medical'"","" 'Active Life'"","" 'Yoga'"","" 'Fitness & Instruction']""]",AZ,85260,33.61439514,-111.9119339,P,4.5
6GkFwSShRwJg8LhjTxG3MQ,Las Vegas,5,Sunset Ridge Surgery Center,"8352 W Warm Springs Rd, Ste 110","[""['Health & Medical'"","" 'Medical Centers']""]",NV,89113,36.05633163,-115.2739334,P,4.5
6Ib0L5X1KWUzIFN1EkzF3w,Mesa,6,Banner Pediatric Specialists,"1432 S Dobson Rd, Ste 301","[""['Doctors'"","" 'Health & Medical'"","" 'Pediatricians']""]",AZ,85202,33.38870621,-111.8768311,P,3.5
6JIB1dfQYNe1Y9Cvz5Vdtw,Scottsdale,6,"Mehdi K. Mazaheri, MD","5725 N Scottsdale Rd, Ste 150","[""['Health & Medical'"","" 'Skin Care'"","" 'Beauty & Spas'"","" 'Cosmetic Surgeons'"","" 'Doctors']""]",AZ,85250,33.52012634,-111.9246292,P,5
6f9h_01iWsdQLW1yeC93zg,Chandler,3,Axis Wellness Center,"1100 S Dobson Rd, Ste 112","[""['Physical Therapy'"","" 'Chiropractors'"","" 'Health & Medical'"","" 'Acupuncture']""]",AZ,85286,33.28958893,-111.876915,P,5
6h5neY7RChgvuRDerDxIZw,Phoenix,9,"Goldenstein Marvin D, DDS","16620 N 40th St, Ste H1","[""['Dentists'"","" 'Health & Medical'"","" 'Periodontists'"","" 'Oral Surgeons']""]",AZ,85032,33.63777542,-111.9965286,P,3
6sVuS3WE2Khk_kIvHRZCIQ,Las Vegas,3,Courtesy Dental & Orthodontics,69 N Nellis Blvd,"[""['Health & Medical'"","" 'Dentists'"","" 'Orthodontists']""]",NV,89110,36.16149902,-115.0623169,P,1.5
6soO5TcIigL6DI44iSo3YA,Toronto,7,Integrative Health Institute,"46 Sherbourne Street, 2nd Floor","[""['Beauty & Spas'"","" 'Massage'"","" 'Family Practice'"","" 'Naturopathic/Holistic'"","" 'Health & Medical'"","" 'Acupuncture'"","" 'Chiropractors'"","" 'Massage Therapy'"","" 'Doctors']""]",ON,M5A 2P7,43.65097046,-79.36825562,P,4.5
6wE4dRVz9E6a4I7SNN3lbg,Las Vegas,3,Weight Watchers,8437 W Lake Mead Blvd,"[""['Health & Medical'"","" 'Weight Loss Centers']""]",NV,89128,36.19756699,-115.2800522,P,3.5
73UQ8yDPP_vAkSoc1gyJUw,Pittsburgh,3,Aesthetic Skin & Laser Center,"4424 Penn Ave, Ste 102","[""['Laser Hair Removal'"","" 'Dermatologists'"","" 'Cosmetic Surgeons'"","" 'Skin Care'"","" 'Beauty & Spas'"","" 'Health & Medical'"","" 'Medical Spas'"","" 'Doctors'"","" 'Hair Removal']""]",PA,15224,40.46598434,-79.95262909,P,2.5
74LU6K2ro5AQXKT0Jf0SPw,Las Vegas,4,Allure Cosmetic Laser Center,8413 W Lake Mead Blvd,"[""['Hair Removal'"","" 'Laser Hair Removal'"","" 'Beauty & Spas'"","" 'Medical Spas'"","" 'Health & Medical'"","" 'Skin Care']""]",NV,89128,36.19733047,-115.2792664,P,4
780DK6Kc18LzawT5jSDAnA,Cleveland,3,"Peter Smilovits, DDS","24400 Chagrin Blvd, Ste 103","[""['Dentists'"","" 'Cosmetic Dentists'"","" 'General Dentistry'"","" 'Health & Medical']""]",OH,44122,41.46390152,-81.50658417,P,5
79gMOwXNWRelPayAWWO5AA,Las Vegas,14,Spanish Hills Dental,8910 W Tropicana Ave Ste 5,"[""['Dentists'"","" 'Health & Medical'"","" 'General Dentistry']""]",NV,89147,36.10060883,-115.2863541,P,4.5
79zzolCRbeM_1YjnssWBjw,Henderson,13,Van Hook Sports Performance,"900 W Warm Springs Rd, Ste103","[""['Trainers'"","" 'Fitness & Instruction'"","" 'Gyms'"","" 'Health & Medical'"","" 'Active Life']""]",NV,89011,36.0571022,-115.024765,P,5
7CB5wmchiaC2xKdc1eLT5g,Las Vegas,4,Nutrition Rush,4510 E Charleston Blvd,"[""['Weight Loss Centers'"","" 'Nutritionists'"","" 'Health & Medical'"","" 'Discount Store'"","" 'Shopping']""]",NV,89104,36.16034317,-115.0772324,P,3.5
7H9ySAIdG0j3rN3RuzFOhQ,Goodyear,4,Chiropractic Solutions,"1646 N Litchfield Road, Suite 100","[""['Chiropractors'"","" 'Health & Medical']""]",AZ,85395,33.46538544,-112.3589935,P,4
7KKoTR5Ma2eSin8fErESnw,Las Vegas,4,Kelly Hawkins Physical Therapy,3831 W Charleston Blvd,"[""['Physical Therapy'"","" 'Health & Medical']""]",NV,89102,36.15892029,-115.1912155,P,3
7jhZtZjKc-uKOWsC8z7r3Q,Tempe,5,"Christine Tymczyna, DO","4450 S Rural Rd, Bldg C, Ste 230","[""['Family Practice'"","" 'Doctors'"","" 'Health & Medical']""]",AZ,85282,33.383255,-111.9270477,P,5
7xR-w1f7kUhvZ_Tf901Maw,Glendale,4,Associated Dental Glendale W Bell,"7200 W Bell Rd, Ste D1","[""['General Dentistry'"","" 'Cosmetic Dentists'"","" 'Health & Medical'"","" 'Dentists']""]",AZ,85308,33.63976288,-112.2129745,P,5
7xvbhxambsLPJ5ZqaSNxtw,Charlotte,3,Presbyterian Orthopaedic Hospital,1901 Randolph Rd,"[""['Doctors'"","" 'Health & Medical'"","" 'Internal Medicine']""]",NC,28207,35.21076202,-80.82359314,P,4.5
8-9c_Ial-pYXfT1KIx8bWg,Phoenix,3,Wisdom Of Birth Doula Services,,"[""['Education'"","" 'Doulas'"","" 'Lactation Services'"","" 'Health & Medical'"","" 'Specialty Schools'"","" 'Childbirth Education']""]",AZ,85085,33.76353455,-112.0714798,P,5
82gLFZ-54Kz-BJZi9be9PA,Glendale,3,Cambridge Dental,"18555 N 79th Ave, Ste B107","[""['General Dentistry'"","" 'Health & Medical'"","" 'Dentists']""]",AZ,85308,33.6506424,-112.2293091,P,4
8G7W-Dfc1n_B2EGSC1UVQA,Etobicoke,3,Vape on the Lake,2985 Lakeshore Boulevard W,"[""['Health & Medical'"","" 'Shopping'"","" 'Vape Shops'"","" 'Cannabis Clinics']""]",ON,M8V 1J8,43.60024261,-79.50699615,P,4
8ISwdpgOEj6rznVvcWGXyA,Pittsburgh,3,Cenk Integrated Health & Spine Centers,"107 Gamma Dr, Ste 100A","[""['Medical Centers'"","" 'Health & Medical']""]",PA,15238,40.4958992,-79.87065125,P,3.5
8KEW_kZeTyZ97nc47S7ZIg,Toronto,7,Phila Optical,359 Roncesvalles Avenue,"[""['Eyewear & Opticians'"","" 'Health & Medical'"","" 'Shopping'"","" 'Optometrists']""]",ON,M6R 2M8,43.64985275,-79.45028687,P,3.5
8Me3FYlesJygPsiGccTzLA,Henderson,3,Apache Foot & Ankle Specialists,"2980 St. Rose Pkwy, Ste 140","[""['Sports Medicine'"","" 'Doctors'"","" 'Orthopedists'"","" 'Health & Medical'"","" 'Podiatrists']""]",NV,89052,36.00542068,-115.1178284,P,3.5
8Ub0Insx8JHhUxaLYxf8iw,Tempe,5,Head 2 Toe Chiropractic & Health Care Center,"1611 E Warner Rd, Ste 6","[""['Chiropractors'"","" 'Health & Medical']""]",AZ,85284,33.33463669,-111.9139633,P,5
8_rGldt4tuGdWbIPAdN0yQ,Charlotte,3,Surreal Body Solutions,"8133 Ardrey Kell Rd, Ste 205","[""['Professional Services'"","" 'Health & Medical'"","" 'Life Coach'"","" 'Fitness & Instruction'"","" 'Active Life'"","" 'Trainers'"","" 'Weight Loss Centers']""]",NC,28277,35.03860474,-80.79406738,P,5
8dXY90cHf3HsWK72AzO1mw,Phoenix,5,FIX24 Wellness Studio,"7000 E Mayo Blvd, Ste 1058","[""['Medical Centers'"","" 'Chiropractors'"","" 'Health & Medical']""]",AZ,85054,33.65570068,-111.9300919,P,5
8h9OsNX0hQ7YbpdSTdSEeA,Phoenix,3,"Frederick Lau, DDS","1277 E Missouri Ave, Ste 111","[""['Health & Medical'"","" 'Dentists'"","" 'General Dentistry']""]",AZ,85014,33.51644516,-112.0548477,P,5
8jHDQxAvZvDGH9QY7VKncA,Charlotte,3,Bowker Clinic of Chiropractic,7005 Shannon Willow Rd,"[""['Chiropractors'"","" 'Acupuncture'"","" 'Health & Medical']""]",NC,28226,35.08719635,-80.83617401,P,5
8mO8lE65gPKE7HkCkat3jw,Phoenix,3,Woman To Woman Total Care,"3411 N 5th Ave, Ste 207","[""['Health & Medical'"","" 'Doctors']""]",AZ,85013,33.48855591,-112.080246,P,3.5
9YWFMTyVRWwyrTtsIn1bSw,Phoenix,4,Sabatino Steven S DDS Ms,16620 N 40th St Ste A1,"[""['Dentists'"","" 'Health & Medical'"","" 'Orthodontists']""]",AZ,85032,33.63777542,-111.9965286,P,5
9m6GmmL6qJ0mJkFWEcTS8Q,Toronto,3,Paul Pei Licensed Acupuncturist,111 Redpath Avenue,"[""['Acupuncture'"","" 'Health & Medical']""]",ON,M4S 2J9,43.70737839,-79.39242554,P,5
A-KYhjv76UVrOYHWCPfagw,Scottsdale,6,McCartney Michael R DC PC,10752 N 89th Place,"[""['Chiropractors'"","" 'Health & Medical']""]",AZ,85260,33.58439636,-111.8883972,P,4.5
A9Sbddyp5pe271kU3bFCxQ,Henderson,8,Matt Smith Physical Therapy,"1505 Wigwam Pkwy, Ste 240","[""['Health & Medical'"","" 'Physical Therapy']""]",NV,89074,36.03326035,-115.0488663,P,4
AB5e6BeYM8gAeOh9IJb0rQ,Charlotte,10,Carolina Sports Massage,1828 E 7th St,"[""['Beauty & Spas'"","" 'Sports Medicine'"","" 'Massage'"","" 'Massage Therapy'"","" 'Doctors'"","" 'Health & Medical']""]",NC,28204,35.21464157,-80.8191452,P,5
AKQsVTj65IU6eJ6TcWDOgg,Whitchurch-Stouffville,4,DynamicGreens Wheatgrass Juice Farm,16128 Ninth Line,"[""['Farms'"","" 'Arts & Entertainment'"","" 'Food Delivery Services'"","" 'Health & Medical'"","" 'Food'"","" 'Specialty Food'"","" 'Organic Stores']""]",ON,L4A 7X4,44.06388474,-79.27927399,P,5
BPepHGskISjKJz4hfnumCw,Toronto,3,The Scollard Street TCM & Acupuncture Clinic,108 Scollard Street,"[""['Health & Medical'"","" 'Traditional Chinese Medicine'"","" 'Acupuncture']""]",ON,M5R 1E9,43.67177582,-79.3923111,P,3.5
BQBjwic6Fvz03RRijRZifA,Peoria,5,Union Hills Family Medicine Center,8801 W Union Hills Drive,"[""['Doctors'"","" 'Health & Medical']""]",AZ,85382,33.65222931,-112.2478256,P,2.5
Blw0ytDL3LA4pE3Hqn_pBQ,Phoenix,19,ALW Massage Therapy,"4001 E Mountain Sky Ave, Ste. 101","[""['Massage Therapy'"","" 'Health & Medical']""]",AZ,85044,33.30636215,-111.9967575,P,4.5
Brqd8fYuXPQetrw-uAzFrA,Charlotte,9,Eastover OB/GYN,1025 Morehead Medical Dr,"[""['Obstetricians & Gynecologists'"","" 'Health & Medical'"","" 'Doctors']""]",NC,28204,35.2065239,-80.83883667,P,4.5
